project;years;survey;sampling_date;station;bottom_depth;trawling_depth;latitude_start;latitude_end;longitude_start;longitude_end;taxon;familly;species;species_code;number_ind_pool;size_info;size;mean_individual_weight_g;d15N;observations
Cominpro_2017;2017;EVHOE_2017;29_10_2017;V0494;1334;780;45,1321;45,1033;-3,4695;-3,5432;Fish;Trichiuridae;Aphanopus carbo;Apha_car;1;estimated;60;190;11,91;juvenile
Cominpro_2017;2017;EVHOE_2017;29_10_2017;V0494;1334;780;45,1321;45,1033;-3,4695;-3,5432;Fish;Trichiuridae;Aphanopus carbo;Apha_car;1;estimated;60;219;11,99;juvenile
Cominpro_2017;2017;EVHOE_2017;29_10_2017;V0494;1334;780;45,1321;45,1033;-3,4695;-3,5432;Fish;Trichiuridae;Aphanopus carbo;Apha_car;1;estimated;59;195;12,21;juvenile
complementary_sp_2018;2019;EVHOE_2019;24_10_2019;X0453;1600;750;45,8346;45,7998;-3,8477;-3,9131;Fish;Trichiuridae;Aphanopus carbo;Apha_car;1;measured;75;510;12,07;NA
complementary_sp_2018;2019;EVHOE_2019;24_10_2019;X0453;1600;750;45,8346;45,7998;-3,8477;-3,9131;Fish;Trichiuridae;Aphanopus carbo;Apha_car;1;measured;89;1100;12,62;NA
complementary_sp_2018;2019;EVHOE_2019;24_10_2019;X0453;1600;750;45,8346;45,7998;-3,8477;-3,9131;Fish;Trichiuridae;Aphanopus carbo;Apha_car;1;measured;96;1340;12,64;NA
complementary_sp_2018;2019;EVHOE_2019;25_10_2019;X0458;3000;780;45,1768;45,1427;-3,3584;-3,4266;Fish;Trichiuridae;Aphanopus carbo;Apha_car;1;measured;83;967;12,62;NA
complementary_sp_2018;2019;EVHOE_2019;25_10_2019;X0458;3000;780;45,1768;45,1427;-3,3584;-3,4266;Fish;Trichiuridae;Aphanopus carbo;Apha_car;1;measured;86;1053;12,83;NA
complementary_sp_2018;2019;EVHOE_2019;26_10_2019;X0464;2100;750;44,8893;44,8657;-2,3988;-2,4845;Fish;Trichiuridae;Aphanopus carbo;Apha_car;1;measured;88;793;12,35;NA
phd_TC_2008_2011;2008;EVHOE_2008;NA;M0855;1316;500;44,3308;44,3256;-2,2544;-2,3441;Fish;Paralepididae;Arctozenus risso;Arct_ris;1;measured;17,5;5,4;9,22;NA
phd_TC_2008_2011;2008;EVHOE_2008;NA;M0855;1316;500;44,3308;44,3256;-2,2544;-2,3441;Fish;Paralepididae;Arctozenus risso;Arct_ris;1;measured;15;5,3;9,94;NA
phd_TC_2008_2011;2008;EVHOE_2008;NA;M0855;1316;500;44,3308;44,3256;-2,2544;-2,3441;Fish;Paralepididae;Arctozenus risso;Arct_ris;1;measured;16,5;6,3;10,02;NA
phd_TC_2008_2011;2008;EVHOE_2008;NA;M0855;1316;500;44,3308;44,3256;-2,2544;-2,3441;Fish;Paralepididae;Arctozenus risso;Arct_ris;1;measured;16,5;5,8;10,27;NA
phd_TC_2008_2011;2008;EVHOE_2008;NA;M0855;1316;500;44,3308;44,3256;-2,2544;-2,3441;Fish;Paralepididae;Arctozenus risso;Arct_ris;1;measured;18;8,8;10,39;NA
Cominpro_2017;2017;EVHOE_2017;29_10_2017;V0494;1334;780;45,1321;45,1033;-3,4695;-3,5432;Fish;Paralepididae;Arctozenus risso;Arct_ris;5;estimated;17,3;10;10,01;NA
Cominpro_2017;2017;EVHOE_2017;29_10_2017;V0494;1334;780;45,1321;45,1033;-3,4695;-3,5432;Fish;Paralepididae;Arctozenus risso;Arct_ris;4;estimated;15,4;6;10,33;NA
Cominpro_2017;2017;EVHOE_2017;29_10_2017;V0494;1334;780;45,1321;45,1033;-3,4695;-3,5432;Fish;Paralepididae;Arctozenus risso;Arct_ris;5;estimated;20;16;10,6;NA
SUMMER;2019;EVHOE_2019;2019_10_23;X0447;1800;680;46,2446;46,1793;-4,4601;-4,4579;Fish;Paralepididae;Arctozenus risso;Arct_ris;1;measured;19;11,5;10,68;NA
SUMMER;2019;EVHOE_2019;2019_10_23;X0447;1800;680;46,2446;46,1793;-4,4601;-4,4579;Fish;Paralepididae;Arctozenus risso;Arct_ris;1;measured;16,5;8,5;10,77;NA
SUMMER;2019;EVHOE_2019;2019_10_24;X0453;1600;750;45,8346;45,7998;-3,8477;-3,9131;Fish;Paralepididae;Arctozenus risso;Arct_ris;1;measured;17;9;10,62;NA
SUMMER;2019;EVHOE_2019;2019_10_24;X0453;1600;750;45,8346;45,7998;-3,8477;-3,9131;Fish;Paralepididae;Arctozenus risso;Arct_ris;1;measured;17;9,8;10,79;NA
SUMMER;2019;EVHOE_2019;2019_10_25;X0458;3000;780;45,1768;45,1427;-3,3584;-3,4266;Fish;Paralepididae;Arctozenus risso;Arct_ris;1;measured;20;17,7;10,46;NA
SUMMER;2019;EVHOE_2019;2019_10_25;X0458;3000;780;45,1768;45,1427;-3,3584;-3,4266;Fish;Paralepididae;Arctozenus risso;Arct_ris;1;measured;17;8,8;10,49;NA
SUMMER;2019;EVHOE_2019;2019_10_25;X0458;3000;780;45,1768;45,1427;-3,3584;-3,4266;Fish;Paralepididae;Arctozenus risso;Arct_ris;1;measured;14;5,3;10,72;NA
SUMMER;2019;EVHOE_2019;2019_10_26;X0464;2100;750;44,8893;44,8657;-2,3988;-2,4845;Fish;Paralepididae;Arctozenus risso;Arct_ris;1;measured;18;12,6;10,52;NA
SUMMER;2019;EVHOE_2019;2019_10_26;X0464;2100;750;44,8893;44,8657;-2,3988;-2,4845;Fish;Paralepididae;Arctozenus risso;Arct_ris;1;measured;12;2;10,53;NA
SUMMER;2019;EVHOE_2019;2019_10_26;X0464;2100;750;44,8893;44,8657;-2,3988;-2,4845;Fish;Paralepididae;Arctozenus risso;Arct_ris;1;measured;11;1,2;11,19;NA
SUMMER;2019;EVHOE_2019;2019_10_27;X0470;1100;770;44,6599;44,6812;-2,1847;-2,2729;Fish;Paralepididae;Arctozenus risso;Arct_ris;1;measured;15;5,3;10,14;NA
SUMMER;2019;EVHOE_2019;2019_10_27;X0470;1100;770;44,6599;44,6812;-2,1847;-2,2729;Fish;Paralepididae;Arctozenus risso;Arct_ris;1;measured;15;5,9;10,44;NA
SUMMER;2019;EVHOE_2019;2019_10_27;X0470;1100;770;44,6599;44,6812;-2,1847;-2,2729;Fish;Paralepididae;Arctozenus risso;Arct_ris;1;measured;12;2,8;10,53;NA
SUMMER;2019;EVHOE_2019;2019_10_27;X0470;1100;770;44,6599;44,6812;-2,1847;-2,2729;Fish;Paralepididae;Arctozenus risso;Arct_ris;1;measured;13;2,9;10,6;NA
