trawling_depth;depth_layer;depth_layer_100m;species;size;dataset
25;epipelagic;100;Notoscopelus kroyeri;8.9;individuals_sampled_isotopy
25;epipelagic;100;Notoscopelus kroyeri;6.6;individuals_sampled_isotopy
25;epipelagic;100;Notoscopelus kroyeri;6.8;individuals_sampled_isotopy
25;epipelagic;100;Notoscopelus kroyeri;7;individuals_sampled_isotopy
25;epipelagic;100;Notoscopelus kroyeri;6.5;individuals_sampled_isotopy
25;epipelagic;100;Notoscopelus kroyeri;7;individuals_sampled_isotopy
25;epipelagic;100;Notoscopelus kroyeri;7;individuals_sampled_isotopy
25;epipelagic;100;Notoscopelus kroyeri;6;individuals_sampled_isotopy
25;epipelagic;100;Notoscopelus kroyeri;6.5;individuals_sampled_isotopy
25;epipelagic;100;Notoscopelus kroyeri;5.9;individuals_sampled_isotopy
25;epipelagic;100;Notoscopelus kroyeri;6.5;individuals_sampled_isotopy
25;epipelagic;100;Notoscopelus kroyeri;6.5;individuals_sampled_isotopy
25;epipelagic;100;Notoscopelus kroyeri;5.6;individuals_sampled_isotopy
25;epipelagic;100;Notoscopelus kroyeri;6.8;individuals_sampled_isotopy
25;epipelagic;100;Notoscopelus kroyeri;6.7;individuals_sampled_isotopy
25;epipelagic;100;Notoscopelus kroyeri;7;individuals_sampled_isotopy
25;epipelagic;100;Notoscopelus kroyeri;6.8;individuals_sampled_isotopy
25;epipelagic;100;Notoscopelus kroyeri;6.1;individuals_sampled_isotopy
25;epipelagic;100;Notoscopelus kroyeri;7;individuals_sampled_isotopy
25;epipelagic;100;Notoscopelus kroyeri;6.4;individuals_sampled_isotopy
25;epipelagic;100;Myctophum punctatum;7;individuals_sampled_isotopy
25;epipelagic;100;Myctophum punctatum;6.1;individuals_sampled_isotopy
25;epipelagic;100;Myctophum punctatum;5.7;individuals_sampled_isotopy
25;epipelagic;100;Myctophum punctatum;7.2;individuals_sampled_isotopy
25;epipelagic;100;Myctophum punctatum;6.6;individuals_sampled_isotopy
25;epipelagic;100;Myctophum punctatum;7;individuals_sampled_isotopy
25;epipelagic;100;Myctophum punctatum;6.1;individuals_sampled_isotopy
25;epipelagic;100;Myctophum punctatum;6.1;individuals_sampled_isotopy
25;epipelagic;100;Myctophum punctatum;5.8;individuals_sampled_isotopy
25;epipelagic;100;Myctophum punctatum;6;individuals_sampled_isotopy
25;epipelagic;100;Myctophum punctatum;5.9;individuals_sampled_isotopy
25;epipelagic;100;Myctophum punctatum;6;individuals_sampled_isotopy
25;epipelagic;100;Myctophum punctatum;6.1;individuals_sampled_isotopy
25;epipelagic;100;Myctophum punctatum;7;individuals_sampled_isotopy
25;epipelagic;100;Myctophum punctatum;5.9;individuals_sampled_isotopy
25;epipelagic;100;Myctophum punctatum;6.6;individuals_sampled_isotopy
25;epipelagic;100;Myctophum punctatum;6.4;individuals_sampled_isotopy
25;epipelagic;100;Myctophum punctatum;6.7;individuals_sampled_isotopy
25;epipelagic;100;Myctophum punctatum;5.7;individuals_sampled_isotopy
25;epipelagic;100;Myctophum punctatum;6;individuals_sampled_isotopy
371;upper_mesopelagic;300;Xenodermichthys copei;14.5;individuals_sampled_isotopy
371;upper_mesopelagic;300;Xenodermichthys copei;14;individuals_sampled_isotopy
371;upper_mesopelagic;300;Xenodermichthys copei;11.3;individuals_sampled_isotopy
371;upper_mesopelagic;300;Xenodermichthys copei;10.3;individuals_sampled_isotopy
371;upper_mesopelagic;300;Xenodermichthys copei;9.6;individuals_sampled_isotopy
371;upper_mesopelagic;300;Xenodermichthys copei;13.6;individuals_sampled_isotopy
371;upper_mesopelagic;300;Lampanyctus crocodilus;8.2;individuals_sampled_isotopy
371;upper_mesopelagic;300;Xenodermichthys copei;7.9;individuals_sampled_isotopy
371;upper_mesopelagic;300;Lampanyctus crocodilus;10.2;individuals_sampled_isotopy
371;upper_mesopelagic;300;Myctophum punctatum;7;individuals_sampled_isotopy
371;upper_mesopelagic;300;Lampanyctus crocodilus;9.5;individuals_sampled_isotopy
371;upper_mesopelagic;300;Argyropelecus olfersii;4.2;individuals_sampled_isotopy
371;upper_mesopelagic;300;Lampanyctus crocodilus;8.7;individuals_sampled_isotopy
371;upper_mesopelagic;300;Xenodermichthys copei;12;individuals_sampled_isotopy
371;upper_mesopelagic;300;Lampanyctus crocodilus;8.5;individuals_sampled_isotopy
371;upper_mesopelagic;300;Lampanyctus crocodilus;7.9;individuals_sampled_isotopy
371;upper_mesopelagic;300;Lampanyctus crocodilus;8.4;individuals_sampled_isotopy
371;upper_mesopelagic;300;Xenodermichthys copei;13;individuals_sampled_isotopy
371;upper_mesopelagic;300;Lampanyctus crocodilus;8.7;individuals_sampled_isotopy
371;upper_mesopelagic;300;Xenodermichthys copei;10.5;individuals_sampled_isotopy
371;upper_mesopelagic;300;Lampanyctus crocodilus;8.6;individuals_sampled_isotopy
371;upper_mesopelagic;300;Xenodermichthys copei;11;individuals_sampled_isotopy
371;upper_mesopelagic;300;Lampanyctus crocodilus;9.2;individuals_sampled_isotopy
371;upper_mesopelagic;300;Xenodermichthys copei;13;individuals_sampled_isotopy
371;upper_mesopelagic;300;Lampanyctus crocodilus;9.6;individuals_sampled_isotopy
371;upper_mesopelagic;300;Lampanyctus crocodilus;9.3;individuals_sampled_isotopy
371;upper_mesopelagic;300;Xenodermichthys copei;11.4;individuals_sampled_isotopy
371;upper_mesopelagic;300;Argyropelecus olfersii;3.5;individuals_sampled_isotopy
371;upper_mesopelagic;300;Xenodermichthys copei;12.5;individuals_sampled_isotopy
371;upper_mesopelagic;300;Xenodermichthys copei;10;individuals_sampled_isotopy
371;upper_mesopelagic;300;Lampanyctus crocodilus;8.2;individuals_sampled_isotopy
371;upper_mesopelagic;300;Myctophum punctatum;7.3;individuals_sampled_isotopy
371;upper_mesopelagic;300;Xenodermichthys copei;14;individuals_sampled_isotopy
371;upper_mesopelagic;300;Lampanyctus crocodilus;8.6;individuals_sampled_isotopy
371;upper_mesopelagic;300;Xenodermichthys copei;10.5;individuals_sampled_isotopy
371;upper_mesopelagic;300;Lampanyctus crocodilus;7.9;individuals_sampled_isotopy
371;upper_mesopelagic;300;Xenodermichthys copei;13.5;individuals_sampled_isotopy
371;upper_mesopelagic;300;Lampanyctus crocodilus;9.1;individuals_sampled_isotopy
371;upper_mesopelagic;300;Xenodermichthys copei;12;individuals_sampled_isotopy
371;upper_mesopelagic;300;Xenodermichthys copei;14.5;individuals_sampled_isotopy
371;upper_mesopelagic;300;Arctozenus risso;16;individuals_sampled_isotopy
371;upper_mesopelagic;300;Argyropelecus olfersii;3.4;individuals_sampled_isotopy
371;upper_mesopelagic;300;Argyropelecus olfersii;5.6;individuals_sampled_isotopy
371;upper_mesopelagic;300;Myctophum punctatum;7;individuals_sampled_isotopy
371;upper_mesopelagic;300;Argyropelecus olfersii;3.3;individuals_sampled_isotopy
371;upper_mesopelagic;300;Myctophum punctatum;6.8;individuals_sampled_isotopy
371;upper_mesopelagic;300;Lampanyctus crocodilus;8.6;individuals_sampled_isotopy
371;upper_mesopelagic;300;Myctophum punctatum;6.3;individuals_sampled_isotopy
371;upper_mesopelagic;300;Argyropelecus olfersii;4.3;individuals_sampled_isotopy
371;upper_mesopelagic;300;Argyropelecus olfersii;5.5;individuals_sampled_isotopy
371;upper_mesopelagic;300;Argyropelecus olfersii;4.1;individuals_sampled_isotopy
371;upper_mesopelagic;300;Myctophum punctatum;6.1;individuals_sampled_isotopy
371;upper_mesopelagic;300;Lampanyctus crocodilus;8.4;individuals_sampled_isotopy
371;upper_mesopelagic;300;Myctophum punctatum;6;individuals_sampled_isotopy
371;upper_mesopelagic;300;Xenodermichthys copei;9;individuals_sampled_isotopy
371;upper_mesopelagic;300;Myctophum punctatum;8.2;individuals_sampled_isotopy
371;upper_mesopelagic;300;Argyropelecus olfersii;4.9;individuals_sampled_isotopy
371;upper_mesopelagic;300;Xenodermichthys copei;11.1;individuals_sampled_isotopy
371;upper_mesopelagic;300;Myctophum punctatum;7.1;individuals_sampled_isotopy
371;upper_mesopelagic;300;Lampanyctus crocodilus;8.2;individuals_sampled_isotopy
371;upper_mesopelagic;300;Myctophum punctatum;7.4;individuals_sampled_isotopy
371;upper_mesopelagic;300;Lampanyctus crocodilus;8.9;individuals_sampled_isotopy
371;upper_mesopelagic;300;Myctophum punctatum;6.7;individuals_sampled_isotopy
371;upper_mesopelagic;300;Arctozenus risso;17.5;individuals_sampled_isotopy
371;upper_mesopelagic;300;Arctozenus risso;17.6;individuals_sampled_isotopy
371;upper_mesopelagic;300;Arctozenus risso;17.3;individuals_sampled_isotopy
371;upper_mesopelagic;300;Myctophum punctatum;6.6;individuals_sampled_isotopy
371;upper_mesopelagic;300;Arctozenus risso;16.3;individuals_sampled_isotopy
371;upper_mesopelagic;300;Arctozenus risso;17.6;individuals_sampled_isotopy
371;upper_mesopelagic;300;Arctozenus risso;14.8;individuals_sampled_isotopy
371;upper_mesopelagic;300;Arctozenus risso;18.5;individuals_sampled_isotopy
371;upper_mesopelagic;300;Arctozenus risso;19.7;individuals_sampled_isotopy
371;upper_mesopelagic;300;Arctozenus risso;19.5;individuals_sampled_isotopy
