Annee;Serie;Serie_Partielle;Code_Station;trawling_depth;Id_Operation;Poche;Code_Taxon;Code_Espece_Campagne;Nom_Scientifique;Benthos;Lot_A_Confirmer;V_HV;Num_Ordre_V_HV_H2;Tot_V_HV;Ech_V_HV;Type_Volume_Poids_V_HV;Unite_Volume_Poids_V_HV;Commentaire_V_HV;Class_Tri;Num_Ordre_Class_Tri_H2;Tot_Class_Tri;Ech_Class_Tri;Type_Volume_Poids_Class_Tri;Unite_Volume_Poids_Class_Tri;Commentaire_Class_Tri;Sexe;Num_Ordre_Sexe_H2;Tot_Sexe;Ech_Sexe;Type_Volume_Poids_Sexe;Unite_Volume_Poids_Sexe;Commentaire_Sexe;Code_Longueur;Libelle_Longueur;Taille;NumOrdre_Taille_H2;Poids_Classe_Taille;Unite_Taille;Precision_Mesure;Nbr;Nbr_Calcule;Poids_Reference;Coef_Elev_Espece_Capture;Coef_Final_Elevation;Serie_Id;V_HV_Id;V_HV_Lot_Id;Class_Tri_Id;Class_Tri_Lot_Id;Sexe_Id;Sexe_Lot_Id
2002;Campagne EVHOE;1;G0344;500;168;1;1448;;Arctozenus risso;N;N;Vrac;1;0.0531;;Poids;kg;poids estimé à partir des PMI;NA;;;;;kg;;NA;;;;;kg;;;;;;;;;13;?;0.0531;1.0;1.0;CAM-EVHOE;311;13533143;NA;;NA;
2002;Campagne EVHOE;1;G0344;500;168;1;1375;;Argyropelecus hemigymnus;N;N;Vrac;2;0.004;;Poids;kg;poids estimé à partir des PMI;NA;;;;;kg;;NA;;;;;kg;;;;;;;;;6;?;0.004;1.0;1.0;CAM-EVHOE;311;13533142;NA;;NA;
2002;Campagne EVHOE;1;G0344;500;168;1;1376;;Argyropelecus olfersii;N;N;Vrac;3;0.529;;Poids;kg;poids estimé à partir des PMI;NA;;;;;kg;;NA;;;;;kg;;;;;;;;;73;?;0.529;1.0;1.0;CAM-EVHOE;311;13533144;NA;;NA;
2002;Campagne EVHOE;1;G0344;500;168;1;1416;;Benthosema glaciale;N;N;Vrac;4;0.015;;Poids;kg;poids estimé à partir des PMI;NA;;;;;kg;;NA;;;;;kg;;;;;;;;;17;?;0.015;1.0;1.0;CAM-EVHOE;311;13533145;NA;;NA;
2002;Campagne EVHOE;1;G0344;500;168;1;1417;;Ceratoscopelus maderensis;N;N;Vrac;5;0.015;;Poids;kg;poids estimé à partir des PMI;NA;;;;;kg;;NA;;;;;kg;;;;;;;;;7;?;0.015;1.0;1.0;CAM-EVHOE;311;13533146;NA;;NA;
2002;Campagne EVHOE;1;G0344;500;168;1;1379;;Maurolicus muelleri;N;N;Vrac;6;0.001;;Poids;kg;poids estimé à partir des PMI;NA;;;;;kg;;NA;;;;;kg;;;;;;;;;2;?;0.001;1.0;1.0;CAM-EVHOE;311;13533153;NA;;NA;
2002;Campagne EVHOE;1;G0344;500;168;1;2643;;Melanostomias bartonbeani;N;N;Vrac;7;0.027;;Poids;kg;poids estimé à partir des PMI;NA;;;;;kg;;NA;;;;;kg;;;;;;;;;1;?;0.027;1.0;1.0;CAM-EVHOE;311;13533148;NA;;NA;
2002;Campagne EVHOE;1;G0344;500;168;1;1415;;Myctophum punctatum;N;N;Vrac;8;0.007;;Poids;kg;poids estimé à partir des PMI@@;NA;;;;;kg;;NA;;;;;kg;;;;;;;;;2;?;0.007;1.0;1.0;CAM-EVHOE;311;13533150;NA;;NA;
2002;Campagne EVHOE;1;G0344;500;168;1;1439;;Notoscopelus kroyeri;N;N;Vrac;9;0.032;;Poids;kg;poids estimé à partir des PMI;NA;;;;;kg;;NA;;;;;kg;;;;;;;;;20;?;0.032;1.0;1.0;CAM-EVHOE;311;13533149;NA;;NA;
2002;Campagne EVHOE;1;G0344;500;168;1;1444;;Paralepis coregonoides;N;N;Vrac;10;0.002;;Poids;kg;poids estimé à partir des PMI;NA;;;;;kg;;NA;;;;;kg;;;;;;;;;1;?;0.002;1.0;1.0;CAM-EVHOE;311;13533151;NA;;NA;
